env_temp,env_humid,diss_ox,ph_level,turbidity,tot_diss_solid,water_temp,hardness,wqi,sep
32.19,74.8,7,6.94,16,155.42,27.19,319.54,62.59,1
33.76,76.7,6,5.66,4.4,19271.9,28.76,146.76,136.28,0
30.88,79.6,6,6.83,17,229.17,25.88,395.36,50.59,1
31.73,79.44,6,8.25,16,134.24,26.73,302.39,66.14,1
33.72,77.77,7,7.14,2.96,17506.61,28.72,210.5,95.01,0
33.38,77.36,6,7.82,4.62,13742.15,28.38,221.09,90.46,0
32.01,73.13,6,6.67,16,246.11,27.01,406.93,49.15,1
31.1,74.06,6,6.77,17,62.19,26.1,223.22,89.6,1
33.42,76.48,8,8.03,3.74,19168.53,28.42,169.33,118.11,0
36.87,68.18,6,7.25,18,105.36,31.87,273.53,73.12,1
31.66,77.33,6,6.93,17,151.91,26.66,317.49,62.99,1
32.72,70.19,7,7.01,18,69.86,27.72,232.5,86.02,1
34.63,64.09,6,6.97,17,62.19,29.63,220.51,90.7,1
33.75,77.19,7,7.89,4.03,24974.69,28.75,208.4,95.97,0
36.05,67.21,7,6.68,17,38.72,31.05,203.71,98.18,1
37.16,65.14,7,6.66,18,56.39,32.16,222.51,89.88,1
33.7,74.84,7,9.96,3.43,15835.12,28.7,169.93,117.7,0
32.68,75.28,7,6.95,17,26.71,27.68,193.3,103.47,1
35.9,71.23,6,8.37,2.75,27193.32,30.9,155.55,128.57,0
35.12,72.9,10,6.95,4.1,6874.59,30.12,225.23,88.8,0
33.42,76.67,8,6.52,3.27,14284.65,28.42,183.23,109.15,0
29.74,77.49,7,7.09,18,164.14,24.74,328.2,60.94,1
38.01,65.5,6,7,4.28,27071.12,33.01,233.02,85.83,0
32.42,74.76,6,6.69,18,98.01,27.42,263.3,75.96,1
34.35,74.96,7,6.34,3.75,29342.71,29.35,228.46,87.54,0
32.23,75.15,6,6.71,17,244.41,27.23,408.73,48.93,1
32.56,75.02,7,6.66,16,98.01,27.56,262.81,76.1,1
37.45,67.21,7,7.25,16,123.51,32.45,290.87,68.76,1
39.51,61.44,7,5.09,4.84,34094.06,34.51,174.27,114.77,0
37.56,64.5,6,7.62,4.76,36267.27,32.56,170.43,117.35,0
33.47,76.44,8,8.92,5.82,21963.48,28.47,278.62,71.78,0
